"","PFA16NM","ethnicity","stops","arrests"
"1","Metropolitan Police","Asian",123935,75010
"2","Metropolitan Police","Black",256214,158724
"3","Metropolitan Police","Mixed",33587,35919
"4","Metropolitan Police","None",133478,20820
"5","Metropolitan Police","Other",14643,22689
"6","Metropolitan Police","White",290582,267112
"7","Cumbria","Asian",106,247
"8","Cumbria","Black",64,229
"9","Cumbria","Mixed",37,183
"10","Cumbria","None",997,200
"11","Cumbria","Other",2,197
"12","Cumbria","White",8954,28345
"13","Lancashire","Asian",2491,4783
"14","Lancashire","Black",308,868
"15","Lancashire","Mixed",339,1149
"16","Lancashire","None",3418,2177
"17","Lancashire","Other",49,173
"18","Lancashire","White",18335,73585
"19","Merseyside","Asian",887,1195
"20","Merseyside","Black",2075,2801
"21","Merseyside","Mixed",980,1566
"22","Merseyside","None",12949,1590
"23","Merseyside","Other",332,1167
"24","Merseyside","White",60729,81064
"25","Greater Manchester","Asian",2684,10942
"26","Greater Manchester","Black",1964,7954
"27","Greater Manchester","Mixed",808,4369
"28","Greater Manchester","None",1841,4561
"29","Greater Manchester","Other",139,1986
"30","Greater Manchester","White",13350,93515
"31","Cheshire","Asian",116,689
"32","Cheshire","Black",255,971
"33","Cheshire","Mixed",179,496
"34","Cheshire","None",4210,481
"35","Cheshire","Other",29,316
"36","Cheshire","White",12036,47117
"37","Northumbria","Asian",870,2203
"38","Northumbria","Black",489,1536
"39","Northumbria","Mixed",160,502
"40","Northumbria","None",434,634
"41","Northumbria","Other",19,207
"42","Northumbria","White",19646,84459
"43","Durham","Asian",105,442
"44","Durham","Black",33,218
"45","Durham","Mixed",84,240
"46","Durham","None",367,277
"47","Durham","Other",23,244
"48","Durham","White",10767,36516
"49","North Yorkshire","Asian",523,440
"50","North Yorkshire","Black",231,453
"51","North Yorkshire","Mixed",220,469
"52","North Yorkshire","None",1419,4328
"53","North Yorkshire","Other",20,354
"54","North Yorkshire","White",12275,36174
"55","West Yorkshire","Asian",10635,20096
"56","West Yorkshire","Black",2184,6166
"57","West Yorkshire","Mixed",1686,5342
"58","West Yorkshire","None",10240,5613
"59","West Yorkshire","Other",170,1419
